path,sharpe,pnl,max_dd_pct
0,-1.161703016998813,-21841.949999999957,2.3222459999999963
1,-0.35421669634507386,-12033.59000000006,1.462020833649405
2,-0.7271559195815456,-12227.080000000045,1.4228869958628785
3,-1.0083398825822787,-10598.67000000001,1.0598670000000043
4,-0.3868188829586293,-13521.950000000019,1.454345000000007
5,-0.17323627019840762,-5943.350000000019,1.561165695858968
6,-0.4085257691901968,-13005.879999999712,1.4821372878359864
7,-0.9243886883813403,-28243.97999999999,2.824397999999998
8,-0.04773293868196702,-1326.0699999999197,0.8809692424524226
9,-1.0364230725709207,-11428.589999999997,1.1428589999999967
10,-0.6737946401765721,-16516.09000000001,1.9477268588698704
11,-0.414290984828297,-22119.470000000078,2.2755540089432267
12,-0.22320554717688423,-9169.989999999972,1.4761928865019116
13,-0.7641932819801734,-16702.450000000114,1.7651479097139207
14,-0.08846034678639575,-4035.809999999893,1.5294500566155649
15,-0.220681006962797,-13160.559999999823,2.6315722442305765
16,-0.37354116275136645,-12882.009999999964,2.0922134819432396
17,-0.3181430304626159,-9915.250000000171,1.0915556748124655
18,-0.9190005365086453,-18759.180000000062,1.8759180000000053
19,-0.40049829594796565,-12752.540000000026,1.651922888974473
