coint_pvalue_gate,entry,exit_ratio,fold_0_fees_slippage,fold_0_max_dd_pct,fold_0_max_dd_usd,fold_0_pnl,fold_0_round_trips,fold_0_sharpe,fold_0_trades,fold_0_turnover,fold_0_win_rate,fold_1_fees_slippage,fold_1_max_dd_pct,fold_1_max_dd_usd,fold_1_pnl,fold_1_round_trips,fold_1_sharpe,fold_1_trades,fold_1_turnover,fold_1_win_rate,fold_2_fees_slippage,fold_2_max_dd_pct,fold_2_max_dd_usd,fold_2_pnl,fold_2_round_trips,fold_2_sharpe,fold_2_trades,fold_2_turnover,fold_2_win_rate,fold_3_fees_slippage,fold_3_max_dd_pct,fold_3_max_dd_usd,fold_3_pnl,fold_3_round_trips,fold_3_sharpe,fold_3_trades,fold_3_turnover,fold_3_win_rate,fold_4_fees_slippage,fold_4_max_dd_pct,fold_4_max_dd_usd,fold_4_pnl,fold_4_round_trips,fold_4_sharpe,fold_4_trades,fold_4_turnover,fold_4_win_rate,half_life_max_bars,half_life_min_bars,in_sample_pnl,in_sample_sharpe,kalman_delta,kalman_obs_var,max_holding_half_lives,median_oos_sharpe,min_edge_cost_multiple,min_oos_sharpe,ofi_threshold,stop_ratio,trial_id
0.1000000000,2.0000000000,0.2500000000,1620.0402807617,2.5128470000,25128.4700000000,1605.3100000000,4,0.0385268475,16,7.9310426363,0.5000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,177.1698461914,-0.0000000000,-0.0000000000,47930.6100000000,1,0.7937527939,4,2.0603120208,1.0000000000,253.1000610352,5.6339825012,56339.8250122070,26980.4000000000,2,0.2855702111,8,4.1242835384,0.5000000000,202.5300781250,9.2884012451,92884.0124511719,30693.8000000000,2,0.2415446823,8,3.8321354107,0.5000000000,30.0000000000,1.0000000000,113706.6700000000,0.2539749713,0.0000100000,0.0000010000,2.0000000000,0.2415446823,,0.0000000000,,2.0000000000,0
0.0504107750,2.2739233746,0.0245841144,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,101.2400781250,7.7704599976,77704.5999755861,-73803.1600000000,1,-1.5263822670,4,1.6938366180,0.0000000000,101.2400683594,2.9865320068,29865.3200683594,16648.0800000000,1,0.3395999487,4,2.0685694768,1.0000000000,38.3649676672,2.7818889432,-57155.0800000000,-0.3375081861,0.0000001164,0.0000179094,3.1884896830,0.0000000000,1.6308749744,-1.5263822670,0.6526828433,1.9046800706,1
0.1505936622,2.7148085532,0.4377932679,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,126.5499694824,4.9933724945,49933.7249450684,-48575.8000000000,1,-1.0148198264,4,2.0721496620,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,21.4841539796,1.8536530506,-48575.8000000000,-0.4128187044,0.0000005042,0.0000283606,2.2680616636,0.0000000000,0.0849590134,-1.0148198264,,1.5503783630,2
0.1582232510,2.2943790231,0.2302065326,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,253.0998840332,12.0691500000,120691.5000000000,-120691.5000000000,2,-1.7301641405,8,3.9975773175,0.0000000000,202.5300292969,9.2884012451,92884.0124511719,9440.0000000000,2,0.0732231180,8,3.8708391127,0.5000000000,40.7752601947,2.2138549612,-111251.5000000000,-0.3089057801,0.0009746299,0.0000838188,3.0653401917,0.0000000000,1.1667642719,-1.7301641405,,2.4230776672,3
0.1835411528,2.0507086450,0.2915012153,455.6299768066,1.8057060000,18057.0600000001,-18057.0600000000,1,-1.0991514392,4,2.0045397681,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,253.1000427246,3.5283624976,35283.6249755860,49934.6000000000,2,0.5648081780,8,3.9534451318,0.5000000000,202.5299707031,9.2884012451,92884.0124511719,155.4400000000,2,0.0012680153,8,3.8163315230,0.5000000000,36.4341406901,1.3944879918,6838.5900000000,0.0180824200,0.0003613694,0.0000544721,1.9656081732,0.0000000000,1.7829000906,-1.0991514392,0.3132952004,1.9653628133,4
0.1175509050,1.4543151871,0.0504092061,1645.3000799561,4.0949585057,40949.5850567627,-14509.8900000000,4,-0.2477403363,16,7.9265392620,0.2500000000,253.1500000000,-0.0000000000,-0.0000000000,59580.8500000000,1,0.9842458911,4,1.8826662216,1.0000000000,177.1698461914,-0.0000000000,-0.0000000000,47930.6100000000,1,0.7937527939,4,2.0603120208,1.0000000000,885.9498132324,5.1259800018,51259.8000183105,106162.3900000000,6,0.8353399620,24,11.6760412031,0.5000000000,455.7298339844,1.9525894878,19525.8948779297,103864.8500000000,5,1.1625063554,20,9.1105834664,1.0000000000,53.2066326946,1.0984236075,288643.3600000000,0.6173628215,0.0002140802,0.0000140732,1.1757041044,0.8353399620,1.0083511816,-0.2477403363,,2.4347807170,5
0.1913169666,2.5926485406,0.0312127806,1620.0401300049,5.0135780000,50135.7800000000,-29692.8600000000,4,-0.5745278042,16,7.9407165187,0.2500000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,126.5499816895,2.9634024933,29634.0249328613,-29079.8500000000,1,-0.7517804110,4,2.0620313446,0.0000000000,202.5301757813,9.2884012451,92884.0124511719,-17832.6000000000,2,-0.1420475304,8,3.8566777476,0.5000000000,36.9182812293,0.7268826140,-179794.9300000000,-0.3186084299,0.0000041515,0.0000000622,1.8960883985,-0.1420475304,2.0159846339,-0.7517804110,,1.8459633135,6
0.1190067709,1.7302203365,0.3774648909,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,126.5500976562,1.8080500031,18080.5000305176,64188.5500000000,1,0.7738831957,4,2.0455257585,1.0000000000,202.5298852539,9.2884012451,92884.0124511719,27655.0400000000,2,0.2121797943,8,3.8020599403,0.5000000000,32.4942697528,2.8864762342,91843.5900000000,0.2421752910,0.0005112322,0.0000005774,2.2756858745,0.0000000000,1.8606403560,0.0000000000,0.7591549400,1.6582429194,7
0.1951889285,2.5154576906,0.3175872961,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,253.0997985840,12.7594400000,127594.4000000000,-127594.4000000000,2,-1.8779072796,8,4.0011462480,0.0000000000,202.5300585937,9.2884012451,92884.0124511719,-5317.7200000000,2,-0.0418288960,8,3.8632003148,0.5000000000,44.1128582894,2.3362089295,-132912.1200000000,-0.3752422823,0.0001390410,0.0000004556,3.7961790598,0.0000000000,0.3447978998,-1.8779072796,0.7419391429,2.2461340432,8
0.1702820868,1.0294126099,0.5887170240,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,1164.3596398926,6.3680057209,63680.0572094726,336235.7400000000,9,1.6130047332,36,17.3167413546,0.6666666667,480.9898730469,9.2884012451,92884.0124511719,26940.1300000000,5,0.1721339000,20,8.7639595363,0.4000000000,53.9464555646,2.9315720346,363175.8700000000,0.5662102448,0.0006742807,0.0000000394,3.4671214826,0.0000000000,1.4399637714,0.0000000000,,2.7954601354,9
