fees_slippage,fold,max_dd_pct,max_dd_usd,pnl,round_trips,selected_trial,sharpe,test_end,test_start,trades,train_end,train_start,turnover,win_rate
1620.0402807617,0,2.5128470000,25128.4700000000,1605.3100000000,4,0,0.0385268475,2018-12-06,2016-12-29,16,2016-12-28,2015-01-02,7.9310426363,0.5000000000
0.0000000000,1,-0.0000000000,-0.0000000000,0.0000000000,0,46,0.0000000000,2020-11-12,2018-12-07,0,2018-12-06,2015-01-02,0.0000000000,0.0000000000
1417.6100085449,2,7.7463465132,77463.4651318359,26637.6800000000,8,19,0.1611935413,2022-10-21,2020-11-13,32,2020-11-12,2015-01-02,15.5800125480,0.6250000000
607.4400439453,3,1.8080500031,18080.5000305176,196899.9800000000,4,33,1.5851472680,2024-10-01,2022-10-24,16,2022-10-21,2015-01-02,8.1043019616,0.7500000000
202.5298852539,4,9.2884012451,92884.0124511719,27655.0400000000,2,33,0.2121797943,2026-09-11,2024-10-02,8,2024-10-01,2015-01-02,3.8020599403,0.5000000000
