path,sharpe,pnl,max_dd_pct,null_sharpe
0,-0.016843327701916457,-9178.849038085937,19.02847890283202,-0.09622319655557007
1,-0.3923074593645548,-285627.40429443365,47.5087489465332,0.3001949113553605
2,-0.17647596344513208,-97179.91561523438,20.529253051574713,-0.23064759046033975
3,-0.27446366134828415,-131850.12057495117,26.048165457031246,-0.29568901997137664
4,-0.1672874827162248,-113571.01917236329,31.999489988525387,-0.16735162752702953
5,-0.12323246330001154,-79118.93982421877,23.547822625488276,0.5928397481716311
6,0.2103087305323229,106257.06847778318,13.185521981445303,-0.3330473688844839
7,-0.540867524469801,-304415.4293408203,42.47591143664551,0.07519783929677565
8,0.18301073499216872,107490.66506591799,17.681839690917965,-0.1519864294002838
9,-0.15333214629458103,-98340.92526123047,18.595315992919925,0.5796187180356376
10,-0.17022612347039043,-118317.79532348634,30.400787009277348,-0.00932936970447894
11,-0.10451328088727764,-54109.091322021486,14.049500463134773,-0.048856291147715086
12,-0.2768233942756706,-155868.8491937256,23.065993007568363,-0.029737667798634175
13,-0.04195670270881171,-29085.914312744164,32.476236470581064,-0.11310842433593465
14,-0.045357778465636385,-24988.081818847655,20.582205992187504,0.24311337841065536
15,-0.09387387771275911,-50605.020279541015,24.32232444824219,0.5192422299753076
16,-0.08769601629684681,-56299.049593505835,18.339105034790038,0.0652414285610287
17,-0.2698712612412235,-215304.17512817378,33.39927546777344,-0.1843502914956125
18,-0.11751317991012494,-87622.67026000976,35.755699009887685,0.11020137190600651
19,-0.048299049455409866,-31266.100057373056,20.063190001708982,-0.4470877472967859
20,0.04266772087324863,22838.091563110334,14.534113046508784,-0.04194276964599223
21,0.06438495465614436,38953.867279052705,18.111354954101564,-0.09324735092625328
22,-0.3000751979469092,-262474.3374194336,39.59301554113771,0.24574959204246605
23,-0.13393609020757846,-75382.11194335937,14.890322991699225,-0.25697146854734587
24,0.3186522862206687,177192.51629394534,19.048884481933598,0.14580924785913604
25,-0.45532009969152437,-253086.05928710935,28.414002956298834,0.2550934182616871
26,-0.022861922987540955,-11001.95070190432,18.86891155273438,-0.09939399482051382
