coint_pvalue_gate,entry,exit_ratio,fold_0_fees_slippage,fold_0_max_dd,fold_0_round_trips,fold_0_sharpe,fold_0_trades,fold_0_turnover,fold_0_win_rate,fold_1_fees_slippage,fold_1_max_dd,fold_1_round_trips,fold_1_sharpe,fold_1_trades,fold_1_turnover,fold_1_win_rate,fold_2_fees_slippage,fold_2_max_dd,fold_2_round_trips,fold_2_sharpe,fold_2_trades,fold_2_turnover,fold_2_win_rate,fold_3_fees_slippage,fold_3_max_dd,fold_3_round_trips,fold_3_sharpe,fold_3_trades,fold_3_turnover,fold_3_win_rate,fold_4_fees_slippage,fold_4_max_dd,fold_4_round_trips,fold_4_sharpe,fold_4_trades,fold_4_turnover,fold_4_win_rate,half_life_max_bars,half_life_min_bars,in_sample_pnl,in_sample_sharpe,kalman_delta,kalman_obs_var,max_holding_half_lives,median_oos_sharpe,min_edge_cost_multiple,min_oos_sharpe,ofi_threshold,stop_ratio,trial_id
0.1636926504,2.8470603196,0.3233606446,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,774.3401538086,11170.8801879883,1,0.1668690717,4,2.0355346889,0.0061475410,553.1499462891,25070.7697448730,1,-0.1047866582,4,1.9258818101,0.0061475410,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,497.7897241211,40180.2600683593,2,-0.4794073370,8,3.0664669055,0.0061601643,45.2603407611,0.6012767780,-35047.2100000000,-0.1718716507,0.0000059022,0.0000529748,2.8431197408,0.0000000000,0.0850960953,-0.4794073370,0.0127933836,1.8991954084,10
0.0862513571,2.0255174465,0.0396494980,3429.3198925781,124424.9048474121,4,-1.6391571717,16,8.0197843227,0.0430327869,3318.6507373047,348129.0002050782,5,-0.6667315927,20,8.9340496746,0.0389344262,1963.6053833008,404738.9998791504,4,-1.2988863051,14,7.0490314719,0.0737704918,2184.8205688477,90016.4450952149,5,-0.0233487073,20,9.4055493992,0.0472279261,1050.9649584961,91539.2850561524,4,-0.0582850413,14,6.6613035511,0.0841889117,28.6664302571,1.3607749470,-773158.8400000000,-0.5857229792,0.0002318831,0.0000000185,3.8981862424,-0.6667315927,1.6866955267,-1.6391571717,,2.8936563312,11
0.1439759694,2.7762366413,0.0747328235,1659.3500073242,65311.0998535156,2,-0.7915583945,8,3.9900584936,0.0225409836,1382.8002539062,129021.2002050781,2,-0.1675444949,8,3.9818227308,0.0143442623,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,1216.8696923828,122086.0299316406,3,-0.3855442332,12,5.9107778760,0.0574948665,553.1501342773,54495.1998901367,2,-0.1302683991,8,3.7131573053,0.0451745380,49.5340926752,1.8852262554,-166842.8500000000,-0.2153688379,0.0000014234,0.0000022105,2.6814278560,-0.1675444949,0.8652636433,-0.7915583945,0.6544967768,1.8388041426,12
0.1744705978,2.9181552854,0.3315669063,829.6500366211,6967.8749267578,1,0.6169096463,4,2.0604364820,0.0020491803,1825.2804394531,96398.1800512696,3,-0.2306923433,12,5.0069532467,0.0081967213,553.1499731445,25070.7697448730,1,-0.1123803539,4,1.9260077275,0.0061475410,774.3902539062,61329.7650073242,2,-0.7355316990,8,3.9223800103,0.0164271047,774.3397973633,40180.2600683593,3,-0.0938797227,12,5.0071133687,0.0123203285,27.3580685211,0.8636838455,-1305.4500000000,-0.0022908388,0.0000237518,0.0000247266,3.7298768850,-0.1123803539,0.1292006657,-0.7355316990,0.3323072299,2.0541066166,13
0.1071155762,1.0199091216,0.0471780223,4978.0504235840,26322.6048364256,6,0.9532721069,24,11.9851609965,0.0327868852,663.7700476074,2755.0765759277,1,0.9424429438,4,1.9923701820,0.0061475410,2046.5705407715,91017.9400976562,4,-0.4510173280,16,7.8673568658,0.0225409836,1659.4498974609,107151.9348974610,4,-0.2855427808,16,7.7220856186,0.0328542094,1216.9197509766,49730.8801635742,4,-0.8515736589,16,7.7501369236,0.0225872690,56.9090784818,2.2566301766,-85784.3800000000,-0.1521075111,0.0000407810,0.0000001246,1.3804513068,-0.2855427808,2.5943348862,-0.8515736589,,2.0475692366,14
0.0973915318,1.8595481224,0.5858773932,5973.5799353027,25220.2900000000,7,0.4182065275,28,14.0884358311,0.0389344262,6858.5404913330,123472.7800512695,10,0.0061342213,40,18.3413262452,0.0266393443,3152.7698620605,111100.2798901367,6,-0.0862244685,24,11.7931000175,0.0348360656,1825.3054296875,38248.3698632813,5,0.3576253822,18,8.1939589045,0.0246406571,1327.5652026367,43231.2198095702,5,0.1092487861,18,8.4231769506,0.0266940452,52.4716112304,1.1745919638,-47938.9100000000,-0.0559573353,0.0001266965,0.0000001720,3.6439215182,0.1092487861,1.5321195166,-0.0862244685,0.7959338785,2.2332743203,15
0.1505092774,1.3654247579,0.4874012389,5641.7697387695,28802.9300000002,7,1.3521201136,28,14.0123516297,0.0799180328,1382.8499279785,2755.0765759277,2,0.9029958771,8,4.0029779707,0.0102459016,2710.2395593262,111133.2499877929,5,0.1589339257,20,9.9842996073,0.0553278689,3152.8447680664,97780.3348974609,8,-0.1177951526,30,14.6458966642,0.0595482546,1327.6148461914,126626.0603979492,5,-0.3396164643,18,8.2445425747,0.0616016427,46.1536676816,2.8142864430,198076.8800000000,0.2193169212,0.0000469416,0.0000681796,3.5821042286,0.1589339257,0.7414402210,-0.3396164643,,2.8201471820,16
0.1972914040,2.4292370733,0.2373343639,2489.0498510742,82578.5851025390,3,-1.2194214890,12,5.9446290733,0.0307377049,2101.8802172852,363261.9802124023,3,-0.4003430500,12,5.6806719521,0.0122950820,553.1499194336,76577.4103088379,1,-0.1326992182,4,1.9572782525,0.0204918033,553.1252221680,69676.5498632812,2,-0.7914091011,6,2.9342802485,0.0123203285,719.1051342773,63116.0650024414,3,-0.0259925724,10,4.6032947113,0.0410677618,15.6771375090,1.9458397873,-428494.4600000001,-0.3987331704,0.0004375453,0.0000017604,2.5780667459,-0.4003430500,1.5703041822,-1.2194214890,,1.7505793932,17
0.1943634640,2.1427912009,0.4635895207,2654.9303057861,24175.5100292969,3,-0.5678075948,12,6.0257724639,0.0163934426,2931.4802832031,97301.9399999999,4,-0.7536825719,16,7.8484537107,0.0102459016,1106.2500793457,117520.0650378418,2,-0.7926855492,8,4.0160854202,0.0184426230,1935.9752221680,69676.5498632813,5,-0.2628044957,18,8.7283655505,0.0205338809,774.3647045898,15113.8801879883,3,0.4693696888,10,4.8946283667,0.0102669405,15.3129243650,1.2992040907,-266346.9200000000,-0.4845806586,0.0008185833,0.0000022881,3.0175799018,-0.5678075948,0.5853221954,-0.7926855492,0.4817913411,1.5096133240,18
0.1868932900,1.1445305311,0.4464584876,13108.9201257324,84433.7448535156,17,0.3315009106,68,31.4964428393,0.0614754098,9956.1003619385,166351.2050683594,15,0.1334279105,60,27.4645959912,0.0450819672,3540.0404760742,111133.2499877929,7,-0.0672976525,28,13.6520900439,0.0348360656,4535.6700793457,96421.5798339844,10,0.2139329734,40,19.5931260776,0.0451745380,2323.1696093750,69870.5251098631,8,0.6427049781,32,14.5407722149,0.0472279261,44.9234475077,0.6572387461,67848.8400000000,0.0707175096,0.0000005116,0.0000003567,1.2633036603,0.2139329734,1.1852751251,-0.0672976525,0.3778402694,2.2499592355,19
0.1566319795,2.5318342355,0.0764418054,829.6502380371,75389.9999999999,1,0.0202743813,4,2.0382276652,0.0061475410,0.0000000000,-0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,995.6798425293,139428.8902465821,2,-0.3849312870,8,3.8890235139,0.0389344262,940.3448632812,79290.5251318358,3,0.3272927198,10,4.7785089866,0.0533880903,442.5048144531,72645.0698535156,2,-0.6387885805,6,2.8544834913,0.0349075975,39.8738488641,2.6721357359,-82436.9300000000,-0.1125077754,0.0000001969,0.0000000191,2.4897150814,0.0000000000,0.4906302486,-0.6387885805,0.2544139103,2.8729859402,20
