path,sharpe,pnl,max_dd_pct
0,0.13657748911155973,1324.079999999998,0.13256602235960308
1,-0.0886645278195668,-1046.7100000000237,0.2898164678594912
2,-0.1494760055086821,-1848.770000000021,0.37854461760865526
3,-0.25708075806600456,-633.6000000000138,0.0716948403951712
4,0.49403914932485476,10030.780000000028,0.13698682172426488
5,-0.005469385990505918,-56.860000000027185,0.2286311399038532
6,-0.1716879866205525,-624.8500000000137,0.06674714456429938
7,0.0,0.0,-0.0
8,0.18436357076346732,2384.80999999998,0.2840287211530842
9,-0.717398197065469,-4683.21,0.46832099999999627
10,-0.021119032986896463,-236.93000000006293,0.1860327937665279
11,0.24496899831723626,7202.469999999974,0.07596504421174759
12,0.17587146628353606,2540.7399999999952,0.0917475835039164
13,0.14252273141204222,736.519999999982,0.06364229747994105
14,0.23617965909387517,1871.6399999999767,0.06118974516047164
15,0.15820918218465246,865.2200000000528,0.06139034260058542
16,0.015018931572799005,128.05999999999267,0.21356828111949144
17,0.14709524004226238,2021.4799999998131,0.11258077912601876
18,-0.2785513355281855,-1214.9800000000018,0.13497799318043982
19,0.09678521074891673,408.6000000000246,0.0653386719152215
